Metric,Amount,endDate
us-gaap_NetIncomeLoss,7559000,2014-12-31
us-gaap_NetIncomeLoss,7593000,2015-12-31
us-gaap_NetIncomeLoss,7970000,2016-12-31
us-gaap_DepreciationDepletionAndAmortization,4376000,2014-12-31
us-gaap_DepreciationDepletionAndAmortization,4846000,2015-12-31
us-gaap_DepreciationDepletionAndAmortization,5634000,2016-12-31
us-gaap_GainLossOnDispositionOfAssets,-5000,2014-12-31
us-gaap_GainLossOnDispositionOfAssets,-27000,2015-12-31
us-gaap_GainLossOnDispositionOfAssets,-2000,2016-12-31
us-gaap_ShareBasedCompensation,1119000,2014-12-31
us-gaap_ShareBasedCompensation,1069000,2015-12-31
us-gaap_ShareBasedCompensation,1056000,2016-12-31
us-gaap_DeferredIncomeTaxExpenseBenefit,1232000,2014-12-31
us-gaap_DeferredIncomeTaxExpenseBenefit,437000,2015-12-31
us-gaap_DeferredIncomeTaxExpenseBenefit,576000,2016-12-31
us-gaap_ExcessTaxBenefitFromShareBasedCompensationOperatingActivities,1219000,2014-12-31
us-gaap_ExcessTaxBenefitFromShareBasedCompensationOperatingActivities,356000,2015-12-31
us-gaap_ExcessTaxBenefitFromShareBasedCompensationOperatingActivities,145000,2016-12-31
us-gaap_IncreaseDecreaseInReceivables,-562000,2014-12-31
us-gaap_IncreaseDecreaseInReceivables,1011000,2015-12-31
us-gaap_IncreaseDecreaseInReceivables,3768000,2016-12-31
us-gaap_IncreaseDecreaseInInventories,1845000,2014-12-31
us-gaap_IncreaseDecreaseInInventories,1309000,2015-12-31
us-gaap_IncreaseDecreaseInInventories,-51000,2016-12-31
us-gaap_IncreaseDecreaseInPrepaidExpense,-26000,2014-12-31
us-gaap_IncreaseDecreaseInPrepaidExpense,266000,2015-12-31
us-gaap_IncreaseDecreaseInPrepaidExpense,1351000,2016-12-31
us-gaap_IncreaseDecreaseInIncomeTaxesReceivable,436000,2014-12-31
us-gaap_IncreaseDecreaseInIncomeTaxesReceivable,-2677000,2015-12-31
us-gaap_IncreaseDecreaseInIncomeTaxesReceivable,-209000,2016-12-31
us-gaap_IncreaseDecreaseInAccountsPayable,2317000,2014-12-31
us-gaap_IncreaseDecreaseInAccountsPayable,-800000,2015-12-31
us-gaap_IncreaseDecreaseInAccountsPayable,-596000,2016-12-31
us-gaap_IncreaseDecreaseInAccruedLiabilities,-2243000,2014-12-31
us-gaap_IncreaseDecreaseInAccruedLiabilities,-163000,2015-12-31
us-gaap_IncreaseDecreaseInAccruedLiabilities,-361000,2016-12-31
us-gaap_IncreaseDecreaseInOtherOperatingLiabilities,-181000,2014-12-31
us-gaap_IncreaseDecreaseInOtherOperatingLiabilities,29000,2015-12-31
us-gaap_IncreaseDecreaseInOtherOperatingLiabilities,213000,2016-12-31
us-gaap_IncreaseDecreaseInOtherOperatingAssets,146000,2014-12-31
us-gaap_IncreaseDecreaseInOtherOperatingAssets,-325000,2015-12-31
us-gaap_IncreaseDecreaseInOtherOperatingAssets,97000,2016-12-31
us-gaap_NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,11126000,2014-12-31
us-gaap_NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,13098000,2015-12-31
us-gaap_NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,9393000,2016-12-31
us-gaap_PaymentsToAcquirePropertyPlantAndEquipment,13436000,2014-12-31
us-gaap_PaymentsToAcquirePropertyPlantAndEquipment,16321000,2015-12-31
us-gaap_PaymentsToAcquirePropertyPlantAndEquipment,7293000,2016-12-31
"Proceeds from sale of property, plant and equipment",112000,2014-12-31
